Supply,Study Region,Contractor,2025,2030,2035,2040,2045,Notes,Supply Type
Normal or Better Year (acre-feet/year),Central Valley - Sacramento Valley,City of Folsom,6,6,6,6,6,,Other Imported
Normal or Better Year (acre-feet/year),Central Valley - Sacramento Valley,City of Redding,6,6,6,6,6,,Other Imported
Normal or Better Year (acre-feet/year),Central Valley - Sacramento Valley,City of Roseville,6,6,6,6,6,,Other Imported
Normal or Better Year (acre-feet/year),Central Valley - Sacramento Valley,City of West Sacramento,6,6,6,6,6,,Other Imported
Normal or Better Year (acre-feet/year),Central Valley - Sacramento Valley,Yuba City,6,6,6,6,6,,Other Imported
Normal or Better Year (acre-feet/year),Central Valley - Sacramento Valley,El Dorado Irrigation District,6,6,6,6,6,,Other Imported
Normal or Better Year (acre-feet/year),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,6,6,6,6,6,,Other Imported
Normal or Better Year (acre-feet/year),Central Valley - Sacramento Valley,Placer County Water Agency,6,6,6,6,6,,Other Imported
Normal or Better Year (acre-feet/year),Central Valley - Sacramento Valley,Sacramento County Water Agency,6,6,6,6,6,,Other Imported
Normal or Better Year (acre-feet/year),Central Valley - Sacramento Valley,San Juan Water District,6,6,6,6,6,,Other Imported
Normal or Better Year (acre-feet/year),Central Valley - Sacramento Valley,Shasta Contractors,6,6,6,6,6,,Other Imported
Normal or Better Year (acre-feet/year),Central Valley - Sacramento Valley,Solano County Water Agency,6,6,6,6,6,,Other Imported
Normal or Better Year (acre-feet/year),Central Valley - San Joaquin Valley,City of Avenal,6,6,6,6,6,,Other Imported
Normal or Better Year (acre-feet/year),Central Valley - San Joaquin Valley,City of Coalinga,6,6,6,6,6,,Other Imported
Normal or Better Year (acre-feet/year),Central Valley - San Joaquin Valley,City of Fresno,6,6,6,6,6,,Other Imported
Normal or Better Year (acre-feet/year),Central Valley - San Joaquin Valley,City of Huron,6,6,6,6,6,,Other Imported
Normal or Better Year (acre-feet/year),Central Valley - San Joaquin Valley,City of Lindsay,6,6,6,6,6,,Other Imported
Normal or Better Year (acre-feet/year),Central Valley - San Joaquin Valley,City of Orange Cove,6,6,6,6,6,,Other Imported
Normal or Better Year (acre-feet/year),Central Valley - San Joaquin Valley,City of Tracy,6,6,6,6,6,,Other Imported
Normal or Better Year (acre-feet/year),Central Valley - San Joaquin Valley,Kern County Water Agency,6,6,6,6,6,,Other Imported
Normal or Better Year (acre-feet/year),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,6,6,6,6,6,,Other Imported
Normal or Better Year (acre-feet/year),Central Valley - San Joaquin Valley,Stockton-East Water District,6,6,6,6,6,,Other Imported
Normal or Better Year (acre-feet/year),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",6,6,6,6,6,,Other Imported
Normal or Better Year (acre-feet/year),San Francisco Bay Area,Alameda County Water District,6,6,6,6,6,,Other Imported
Normal or Better Year (acre-feet/year),San Francisco Bay Area,Contra Costa Water District,6,6,6,6,6,,Other Imported
Normal or Better Year (acre-feet/year),San Francisco Bay Area,East Bay Municipal Utilities District,6,6,6,6,6,,Other Imported
Normal or Better Year (acre-feet/year),San Francisco Bay Area,"San Benito County Water District, Zone 6",6,6,6,6,6,,Other Imported
Normal or Better Year (acre-feet/year),San Francisco Bay Area,Santa Clara Valley Water District,6,6,6,6,6,,Other Imported
Normal or Better Year (acre-feet/year),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,6,6,6,6,6,,Other Imported
Normal or Better Year (acre-feet/year),Central Coast,Santa Barbara County Flood Control & Water Conservation District,6,6,6,6,6,,Other Imported
Normal or Better Year (acre-feet/year),Southern California,Antelope Valley-East Kern Water Agency,6,6,6,6,6,,Other Imported
Normal or Better Year (acre-feet/year),Southern California,Santa Clarita Water Division,6,6,6,6,6,,Other Imported
