Variable,Study Region,Contractor,2025,2030,2035,2040,2045,Notes
Recycle,Central Valley - Sacramento Valley,City of Folsom,1,1,1,1,1,
Recycle,Central Valley - Sacramento Valley,City of Redding,5,1,1,1,1,
Recycle,Central Valley - Sacramento Valley,City of Roseville,5,1,1,1,1,
Recycle,Central Valley - Sacramento Valley,City of West Sacramento,5,1,1,1,1,
Recycle,Central Valley - Sacramento Valley,Yuba City,5,1,1,1,1,
Recycle,Central Valley - Sacramento Valley,El Dorado Irrigation District,5,1,1,1,1,
Recycle,Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,5,1,1,1,1,
Recycle,Central Valley - Sacramento Valley,Placer County Water Agency,5,1,1,1,1,
Recycle,Central Valley - Sacramento Valley,Sacramento County Water Agency,5,1,1,1,1,
Recycle,Central Valley - Sacramento Valley,San Juan Water District,5,1,1,1,1,
Recycle,Central Valley - Sacramento Valley,Shasta Contractors,5,1,1,1,1,
Recycle,Central Valley - Sacramento Valley,Solano County Water Agency,5,1,1,1,1,
Recycle,Central Valley - San Joaquin Valley,City of Avenal,5,1,1,1,1,
Recycle,Central Valley - San Joaquin Valley,City of Coalinga,5,1,1,1,1,
Recycle,Central Valley - San Joaquin Valley,City of Fresno,5,1,1,1,1,
Recycle,Central Valley - San Joaquin Valley,City of Huron,5,1,1,1,1,
Recycle,Central Valley - San Joaquin Valley,City of Lindsay,5,1,1,1,1,
Recycle,Central Valley - San Joaquin Valley,City of Orange Cove,5,1,1,1,1,
Recycle,Central Valley - San Joaquin Valley,City of Tracy,5,1,1,1,1,
Recycle,Central Valley - San Joaquin Valley,Kern County Water Agency,5,1,1,1,1,
Recycle,Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,5,1,1,1,1,
Recycle,Central Valley - San Joaquin Valley,Stockton-East Water District,5,1,1,1,1,
Recycle,San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",5,1,1,1,1,
Recycle,San Francisco Bay Area,Alameda County Water District,5,1,1,1,1,
Recycle,San Francisco Bay Area,Contra Costa Water District,5,1,1,1,1,
Recycle,San Francisco Bay Area,East Bay Municipal Utilities District,5,1,1,1,1,
Recycle,San Francisco Bay Area,"San Benito County Water District, Zone 6",5,1,1,1,1,
Recycle,San Francisco Bay Area,Santa Clara Valley Water District,5,1,1,1,1,
Recycle,Central Coast,San Luis Obispo County Flood Control & Water Conservation District,5,1,1,1,1,
Recycle,Central Coast,Santa Barbara County Flood Control & Water Conservation District,5,1,1,1,1,
Recycle,Southern California,Antelope Valley-East Kern Water Agency,5,1,1,1,1,
Recycle,Southern California,Santa Clarita Water Division,5,1,1,1,1,
Recycle,Southern California,Coachella Valley Water District,5,1,1,1,1,
Recycle,Southern California,Crestline-Lake Arrowhead Water Agency,5,1,1,1,1,
Recycle,Southern California,Desert Water Agency,5,1,1,1,1,
Recycle,Southern California,Metropolitan Water District of Southern California,5,1,1,1,1,
Recycle,Southern California,Mojave Water Agency,5,1,1,1,1,
Recycle,Southern California,Palmdale Water District & Littlerock Creek Irrigation District,5,1,1,1,1,
Recycle,Southern California,San Bernardino Valley Municipal Water District,5,1,1,1,1,
Recycle,Southern California,San Gabriel Valley Municipal Water District,5,1,1,1,1,
Recycle,Southern California,San Gorgonio Pass Water Agency,5,1,1,1,1,
Recycle,Southern California,Ventura County Watershed Protection District,5,1,1,1,1,
